,index,name,lon,lat,type
134,134,Seibu Incineration Plant,130.646346,32.773734,Plant
135,135,Jozan Park Athletic Facility,130.651006,32.775516,Facility
136,136,Josei Elementary School,130.682973,32.805323,Elementary School
137,137,Chiharadai High School,130.686635,32.806407,High School
138,138,Furusho Park,130.680521,32.813726,Park
139,139,Ishigamiyama Park,130.679657,32.810927,Park
140,140,Shiratsubo Elementary School,130.684101,32.777305,Elementary School
141,141,Karyo Junior High School,130.678501,32.779142,Junior High School
142,142,Rendaiji Park,130.684033,32.774852,Park
143,143,Takahashi Elementary School,130.656369,32.784052,Elementary School
144,144,Nakashima Elementary School,130.629456,32.76656,Elementary School
145,145,Nakashima Chuo Park,130.627269,32.766753,Park
146,146,Shirakawa Nakahara Ryokuchi Park,130.635711,32.773329,Park
147,147,Hanazono Community Development Center,130.694882,32.817378,Center
148,148,Hanazono Elementary School,130.690822,32.822526,Elementary School
149,149,Hanazono 5-chome Park,130.692295,32.822162,Park
150,150,Kakibaru Park,130.685379,32.8256,Park
151,151,Furumachi Elementary School,130.689621,32.782058,Elementary School
152,152,Matsuo-Kita Elementary School,130.625243,32.812788,Elementary School
153,153,Matsuo-Nishi Elementary School,130.614441,32.797712,Elementary School
154,154,Matsuo-Higashi Elementary School,130.634956,32.796655,Elementary School
155,155,Yoshino Elementary School,130.643027,32.842349,Elementary School
156,156,Yoshino Junior High School,130.640801,32.840843,Junior High School
157,157,Yoshino Community Center,130.643013,32.843301,Center
158,158,Akita-Higashi Elementary School,130.662541,32.76331,Elementary School
159,159,Akita Junior High School,130.654028,32.76013,Junior High School
160,160,Akita Park Athletic Field,130.65162,32.757735,Field
161,161,Shirakawa Akita Ryokuchi Park,130.657671,32.768373,Park
162,162,Akita-Nishi Elementary School,130.634174,32.754632,Elementary School
163,163,Akita Community Development Center,130.653311,32.754199,Center
164,164,Akita-Minami Elementary School,130.662817,32.749937,Elementary School
165,165,Okukoga Elementary School,130.624347,32.730151,Elementary School
166,166,Tenmei Junior High School,130.636148,32.734208,Junior High School
167,167,Tenmei Gymnasium,130.63598,32.732649,Gymnasium
168,168,Tenmei Community Development Center,130.636652,32.732721,Center
169,169,Kawaguchi Elementary School,130.627179,32.717431,Elementary School
170,170,Kawashiri Elementary School,130.680971,32.739895,Elementary School
171,171,Jonan Junior High School,130.687165,32.743699,Junior High School
172,172,Kumamoto Nogyo High School,130.69406,32.743972,High School
173,173,Midorikawa No.1 Ryokuchi Park,130.699389,32.736958,Park
174,174,Midorikawa No.2 Ryokuchi Park,130.689415,32.731711,Park
175,175,Nambu Community Development Center,130.686202,32.748048,Center
176,176,Jonan Elementary School,130.691209,32.751277,Elementary School
177,177,Zendomo Elementary School,130.645856,32.741446,Elementary School
178,178,Tamukae Elementary School,130.719788,32.768389,Elementary School
179,179,Takuma Junior High School,130.716699,32.772156,Junior High School
180,180,Tamukae Idenakama Park,130.711307,32.77068,Park
181,181,Tamukae-Nishi Elementary School,130.705525,32.773844,Elementary School
182,182,Heisei Chuo Park,130.705392,32.776642,Park
183,183,Tamukae-Minami Elementary School,130.724796,32.76315,Elementary School
184,184,Tamukae Park Athletic Facility,130.728088,32.759132,Facility
185,185,Tomiai Elementary School,130.680896,32.713654,Elementary School
186,186,Tomiai Junior High School,130.684359,32.706738,Junior High School
187,187,Tomiai Gankaikan Sports Facility,130.678289,32.715202,Facility
188,188,Tomiai Community Center,130.677953,32.71623,Center
189,189,Nakamidori Elementary School,130.66016,32.730486,Elementary School
190,190,Hiyoshi Elementary School,130.68938,32.766567,Elementary School
191,191,Shirakawa Hirata Juzenji Ryokuchi Park,130.692172,32.777486,Park
192,192,Hiyoshi-Higashi Elementary School,130.698595,32.765328,Elementary School
193,193,Hiyoshi Junior High School,130.699635,32.764167,Junior High School
194,194,Koda Community Development Center,130.636818,32.732635,Center
195,195,Miyuki Elementary School,130.716088,32.75412,Elementary School
196,196,Kibe Chuo Park,130.715135,32.749167,Park
197,197,Miyuki Chuo Park,130.708456,32.76571,Park
198,198,Fueda Chuo Park,130.71247,32.758101,Park
199,199,Rikigo Elementary School,130.681236,32.758217,Elementary School
200,200,Rikigo Junior High School,130.677849,32.761636,Junior High School
201,201,Shirafuji Park,130.681371,32.74884,Park
202,202,Karikusa Chuo Park,130.681976,32.761715,Park
203,203,Rikigo-Nishi Elementary School,130.671733,32.762923,Elementary School
204,204,Nambu General Sports Center,130.673571,32.754984,Center
205,205,Aqua Dome Kumamoto,130.667832,32.763286,Center
206,206,Jonan Welfare Center,130.728423,32.708616,Center
207,207,Jonan General Sports Center,130.748842,32.708091,Center
208,208,Hinokimi Cultural Center,130.739875,32.706906,Center
209,209,Shimomashiki Jonan Junior High School,130.729665,32.710103,Junior High School
210,210,Kumanosho Elementary School,130.726745,32.707927,Elementary School
211,211,Sugikami Elementary School,130.727973,32.724598,Elementary School
212,212,Jonan Regional Products Center,130.738566,32.723271,Center
213,213,Taka Ground,130.713749,32.725796,Park
214,214,Toyoda Elementary School,130.74521,32.68991,Elementary School
215,215,Asoda Elementary School,130.74421,32.851789,Elementary School
216,216,Shimizu-Shinchi Park,130.747333,32.854861,Park
217,217,Goryo Junior High School,130.690775,32.904987,Junior High School
218,218,Ueki Elementary School,130.693439,32.896053,Elementary School
219,219,Hokubu Community Development Center,130.702995,32.869758,Center
220,220,Kawakami Elementary School,130.704257,32.870779,Elementary School
221,221,Hokubu Junior High School,130.70345,32.868172,Junior High School
222,222,Kusunoki Elementary School,130.758931,32.851032,Elementary School
223,223,Kusunoki Chuo Park,130.756696,32.847935,Park
224,224,Kanan Junior High School,130.674506,32.897202,Junior High School
225,225,Sakurai Elementary School,130.684346,32.888543,Elementary School
226,226,Shibafu Park,130.697024,32.902949,Park
227,227,Santo Elementary School,130.708202,32.912583,Elementary School
228,228,Ueki Chuo Park Athletic Facility,130.700348,32.902721,Facility
229,229,Ueki Cultural Center,130.695303,32.903716,Center
230,230,Roadside Rest Area: Suika-no-Sato,130.693312,32.907986,Hall
231,231,Shimizu Community Development Center,130.721874,32.841103,Center
232,232,Shimizu Elementary School,130.72361,32.832671,Elementary School
233,233,Shimizu Sports Center,130.728647,32.829694,Center
234,234,Tsuboikawa Ryokuchi Park,130.72015,32.823655,Park
235,235,Johoku Elementary School,130.730413,32.849579,Elementary School
236,236,Shimizu Junior High School,130.733868,32.849368,Junior High School
237,237,Hakenomiya Park,130.722228,32.845154,Park
238,238,Takahiradai Elementary School,130.713144,32.833714,Elementary School
239,239,Tasoko Elementary School,130.717108,32.962508,Elementary School
240,240,Tatsuda Community Development Center,130.764298,32.844198,Center
241,241,Tatsuda Gymnasium,130.751857,32.837748,Gymnasium
242,242,Musashizuka Martial Arts Gym,130.764381,32.844622,Gymnasium
243,243,Tatsuda Elementary School,130.761132,32.83817,Elementary School
244,244,Tatsuda Junior High School,130.761239,32.836153,Junior High School
245,245,Musashizuka Park,130.764946,32.844885,Park
246,246,Tatsuda-Nishi Elementary School,130.745392,32.828396,Elementary School
247,247,Tabaru Elementary School,130.66497,32.91026,Elementary School
248,248,Tabaru Sports Park,130.662632,32.908267,Park
249,249,Nishizato Elementary School,130.701972,32.854139,Elementary School
250,250,TKU Plaza,130.709122,32.839486,Plaza
251,251,Imakuma Park,130.684862,32.864554,Park
252,252,Hokubu Park,130.704105,32.865204,Park
253,253,Foodpal Kumamoto Exchange Hall,130.695768,32.848408,Hall
254,254,Nirenoki Elementary School,130.753348,32.8479,Elementary School
255,255,Kusunoki Junior High School,130.755079,32.848283,Junior High School
256,256,Kumamoto-Kita High School,130.746457,32.84116,High School
257,257,Hishigata Elementary School,130.660731,32.883052,Elementary School
258,258,Hokubu-Higashi Elementary School,130.723677,32.859997,Elementary School
259,259,Resource Center for Working Youth,130.724643,32.861792,Center
260,260,Musashi Elementary School,130.76826,32.854523,Elementary School
261,261,Musashi Junior High School,130.772261,32.856641,Junior High School
262,262,Musashigaoka Chuo Park,130.769705,32.856265,Park
263,263,Yuge Elementary School,130.781334,32.853115,Elementary School
264,264,Yamamoto Elementary School,130.681805,32.937227,Elementary School
265,265,Ueki General Sports Center Park,130.700464,32.903007,Park
266,266,Ueki-Kita Junior High School,130.717632,32.944744,Junior High School
267,267,Yoshimatsu Elementary School,130.709687,32.940875,Elementary School
268,268,Yosimatsu Sports Park,130.703145,32.934381,Park
