,index,name,lon,lat,type
225,225,Satodake Community Center,130.4532045,31.6835525,Center
226,226,Tokiwa Community Center,130.4591811,31.6975101,Center
227,227,Hirabaru Community Center,130.4464848,31.7045866,Center
228,228,Maruyama Community Center,130.516361,31.7031294,Center
229,229,Uwaba Elementary School,130.4771769,32.1026479,Elementary School
230,230,Okawauchi Agricultural Training Center,130.4418432,32.0729802,Center
231,231,Izumi City Hall,130.352647,32.0905307,Hall
232,232,Higashi-izumi Elementary School,130.367278,32.080338,Elementary School
233,233,NTT Izumi Bldg,130.355597,32.0872142,Building
234,234,Izumi Health Center,130.3529949,32.0932331,Center
235,235,Obaruyama Gym,130.3470788,32.0556792,Gymnasium
236,236,Izumi Elementary School,130.3586942,32.0746973,Elementary School
237,237,Izumi City Community Center,130.357283,32.081756,Center
238,238,Izumi Junior High School,130.3480978,32.0815043,Junior High School
239,239,Nishi-izumi Elementary School,130.3405548,32.0749493,Elementary School
240,240,Koreisha Fureai Center,130.3301766,32.0872511,Center
241,241,Kizushi Elementary School,130.3645663,32.1552273,Elementary School
242,242,Komenotsu Noson Kaizen Center,130.3557028,32.1442645,Center
243,243,Komenotsu-higashi Elementary School,130.3427965,32.1194857,Elementary School
244,244,Komenotsu Junior High School,130.335009,32.1131305,Junior High School
245,245,Komenotsu Elementary School,130.3254958,32.1078043,Elementary School
246,246,Fukunoe Nursery School,130.316272,32.102573,School
247,247,Kakusho Gakuen,130.2804386,32.0858185,School
248,248,Takaono Elementary School,130.296823,32.061468,Elementary School
249,249,Takaono Junior High School,130.298446,32.0587576,Junior High School
